group_name,type,enabled,note
388 Vĩnh Viễn-689 3/2- 82 Bà Hạt Q10,source,1,
39/15/2 HOÀNG BẬT ĐẠT P.15 TÂN BÌNH,source,1,
391/tk39/23 Nguyễn Cảnh Chân,source,1,
399/37 Nguyễn Đình Chiểu Q3,source,1,
"39A Cửu Long, phường 2, Tân Bình",source,1,
"3M Đường số 8, hiệp bình chánh , thủ đức",source,1,
"3SHOMES 🏠 GÒ VẤP, Q12",source,1,
3T - CHDV Q3 Q4 Q1 Tân Bình,source,1,
3T - CHDV Q3 Q4 Q1 Tân Bình Bình Thạnh (2),source,1,
40 Đường Số 1 Lý Phục Man Q7,source,1,
"40/31 Lam Sơn, P2, Q. Tân Bình",source,1,
"40/55A Trần Quang Diệu, Phường 14, Quận 3",source,1,
406 Xô Viết Nghệ Tĩnh - P thạnh Mỹ Tây,source,1,
409 Điện Biên Phủ - P4-Quận 3 - JOO HOUSE,source,1,
411/138 Lê Đức Thọ P17 Gò Vấp,source,1,
414/23A CMT8 Q.3,source,1,
416 Đường 3/2 + 111 Bà Hạt,source,1,
416/15D Dương Quảng Hàm Sales Gruop,source,1,
"416/23/11 Dương Quảng Hàm , GV",source,1,
416/23/16 DƯƠNG QUẢNG HÀM -CĂN HỘ GÒ VẤP LIGHTHOUSE,source,1,
419/5 CMT8 Quận 10,source,1,
"42/6/17 Đồng Xoài, Tân Bình",source,1,
42a Nguyễn Trọng Lội,source,1,
"43 Đường C27, P12, Tân Bình",source,1,
"43 Phan Văn Trị, P Chợ Quán ( Quận 5 )",source,1,
"43, Đường C27, p12, Tân Bình",source,1,
430/51 cách mạng tháng 8 Quận 3,source,1,
435/1A ĐIỆN BIÊN PHỦ P3 Q3,source,1,
"437/2/40 Hoàng Văn Thụ , P4 , Tân Bình",source,1,
437/4/6 Nguyễn Văn Công - Quận Gò Vấp,source,1,
44/1B Ngô Tất Tố Sales Group,source,1,
"446 Phan Văn Trị, Gò Vấp ( đối diện 745 PVT )",source,1,
"45 LƯƠNG NHỮ HỌC, P11,Q5",source,1,
"45/14 Đồng Xoài, P13, Tân Bình",source,1,
45/9 phạm viết chánh Q.1,source,1,
450/43 Hòa Hảo p5 q10 sale UEH Home,source,1,
451/25/5 Tô Hiến Thành Quận 10,source,1,
451/25/7-9 TÔ HIẾN THÀNH QUẬN 10,source,1,
"457/17 - 19 Hòa Hảo, p5, q10",source,1,
457/23 Hòa Hảo p5 q10 sale - UEH Home,source,1,
457/73 CMT8 Q10,source,1,
45C Hồ Bá Kiện - Q10,source,1,
"46/104 Võ Văn Tần, PVTS, Q3 - ESTAR VÀ SALE",source,1,
"463B/7 CMT8, P.13, Q.10",source,1,
"465/10/20 Nguyễn Văn Công, p3, GV",source,1,
465/10/20- 493A Nguyễn Văn Công,source,1,
466/1 Nguyễn Tất Thành Q4,source,1,
466/15a Lê Văn Sỹ phường 14 quận 3,source,1,
467/84 Lê Đức Thọ P16 Gò Vấp,source,1,
"47 Chấn Hưng, Tân Bình",source,1,
47 Sầm Sơn - Tân Bình,source,1,
474/21 Nguyễn Tri Phương Quận 10,source,1,
"474/7 Trần Hưng Đạo, p2, q5",source,1,
"479/45B Tân Hoà Đông, Bình Tân",source,1,
"48/6 An Phú Đông 12, An Phú Đông, Q12",source,1,
481 GIỎ HÀNG THỐNG NHẤT,source,1,
481/5 Trường Chinh 196/44 C.Hoa+1237/22 hoàng sa,source,1,
493/18 Cmt8,source,1,
496/63/1 Dự Án V&J co-Home Dương Quảng Hàm,source,1,
499/6/30 Quang Trung GV,source,1,
"5-6tr 3ng Bth, TĐ, GV,...",source,1,
5/84 Nguyễn Trung Ngạn Q1,source,1,
50 Nguyễn Văn Khối Phường Thông Tây Hội Gò Vấp,source,1,
50 Nguyễn Văn Khối-Gò Vấp -CÔNG VIÊN LÀNG HOA,source,1,
"50/31/28 Đường Số 59, P14, Gò Vấp",source,1,
"50/4 Hiệp Nhất, Phường Tân Sơn Nhất",source,1,
508 CMT8 Q3,source,1,
"51/19 Phú Lộc , P6 , Tân Bình",source,1,
511/33 trần hưng đạo quận 1,source,1,
"513/6 NGUYỄN OANH, P17, GÒ VẤP - COZY HOME",source,1,
516 Lý Thường Kiệt,source,1,
518B NGUYỄN THỊ MINH KHAI - QUẬN 3 - CHDV A.ĐẠT,source,1,
"519/5a Nguyễn Văn khối, Gò Vấp",source,1,
536/17 LÊ VĂN SỸ,source,1,
